國家,公司數
土耳其 (Turkey),2
中國 (Mainland China),270
"中華民國 (Taiwan, Republic Of China)",943
丹麥(西北歐) (Denmark),1
巴西(南美) (Brazil),1
日本 (Japan),16
比利時 (Belgium),0
以色列 (Israel),4
加拿大 (Canada),1
匈牙利 (Hungary),0
印度 (India),1
西班牙 (Spain),1
法國 (France),5
波蘭 (Poland),1
阿拉伯聯合大公國 (United Arab Emirates),0
俄羅斯聯邦 (Russian Federation),1
保加利亞(東歐) (Bulgaria),1
"南韓 (Korea, Republic Of)",23
美國 (United States),16
美屬薩摩亞 (American Samoa),0
英國 (United Kingdom),3
香港 (Hong Kong),30
泰國 (Thailand),1
紐西蘭 (New Zealand),1
馬來西亞 (Malaysia),0
荷蘭 (Netherlands),2
斯洛法克人共和國 (Slovakia (Slovak Republic)),0
奧地利(中歐) (Austria),0
愛爾蘭 (Ireland),0
新加坡 (Singapore),2
瑞典 (Sweden),1
義大利 (Italy),2
葡萄牙 (Portugal),0
墨西哥 (Mexico),1
德國 (Germany),9
澳大利亞 (Australia),2
澳門 (Macau),1
薩摩亞群島 (Samoa),0
