HSCODE2,HSCODE4,HSCODE6,allNumber,number_2016
1,106,10619,35,1
3,303,30389,1001,0
5,508,50800,144,0
7,710,71080,152,0
7,712,71232,124,0
7,712,71239,249,0
7,713,71331,158,0
7,713,71332,135,0
8,805,80540,208,0
8,811,81190,123,0
8,811,81110,37,0
9,902,90230,1170,3
9,902,90210,787,1
9,904,90421,96,0
9,904,90412,245,0
9,906,90619,118,0
10,1006,100630,257,1
10,1006,100620,111,1
10,1008,100890,94,1
11,1103,110313,27,1
11,1106,110630,360,0
11,1108,110814,235,0
11,1108,110820,21,1
12,1201,120110,17,0
12,1211,121190,874,0
13,1302,130219,546,1
15,1505,150500,42,0
15,1509,150910,403,0
15,1515,151590,585,0
16,1602,160250,131,0
16,1602,160249,297,0
17,1701,170113,335,0
17,1701,170199,559,0
17,1702,170290,644,0
17,1704,170490,1491,1
18,1806,180620,167,0
18,1806,180690,492,0
18,1806,180631,392,0
19,1901,190190,1380,0
19,1902,190211,131,0
19,1902,190240,20,0
19,1902,190230,1204,2
19,1903,190300,547,0
19,1904,190410,666,0
19,1905,190531,1057,1
19,1905,190590,1821,1
20,2001,200110,184,1
20,2003,200390,247,0
20,2005,200551,261,0
20,2005,200599,656,0
20,2006,200600,597,0
20,2008,200819,897,0
20,2008,200899,1714,0
20,2008,200811,457,0
20,2009,200990,341,0
20,2009,200949,77,0
20,2009,200989,514,0
21,2101,210111,246,0
21,2101,210111,246,0
21,2101,210120,883,1
21,2101,210120,883,1
21,2101,210112,820,0
21,2101,210112,820,0
21,2103,210390,1654,0
21,2103,210310,969,1
21,2104,210420,219,1
21,2104,210410,875,0
21,2106,210690,4733,1
21,2106,210610,132,0
22,2202,220290,1429,0
22,2204,220429,159,1
22,2204,220421,1097,3
22,2204,220410,505,2
22,2208,220820,245,1
22,2209,220900,855,1
25,2504,250410,121,1
25,2504,250490,64,1
25,2506,250610,120,2
25,2506,250620,35,0
25,2507,250700,290,1
25,2508,250840,321,0
25,2513,251320,203,1
25,2518,251810,21,0
25,2519,251990,241,0
25,2520,252010,120,0
25,2526,252620,282,0
25,2529,252910,105,0
25,2530,253090,542,0
26,2619,261900,19,0
27,2706,270600,12,0
27,2710,271012,25,1
27,2710,271019,2212,18
27,2712,271290,301,1
28,2803,280300,416,3
28,2804,280430,86,2
28,2804,280461,374,4
28,2804,280470,53,1
28,2804,280440,88,1
28,2807,280700,82,1
28,2810,281000,134,1
28,2811,281122,558,3
28,2813,281390,14,1
28,2814,281420,56,1
28,2815,281512,63,0
28,2818,281820,519,4
28,2818,281810,92,1
28,2818,281830,152,3
28,2821,282110,210,2
28,2825,282580,83,1
28,2825,282590,207,2
28,2825,282560,130,2
28,2827,282731,64,1
28,2833,283319,89,0
28,2834,283429,93,0
28,2836,283692,20,0
28,2839,283919,110,1
28,2840,284020,58,1
28,2841,284190,150,2
28,2843,284330,39,1
28,2844,284440,85,3
28,2846,284690,97,0
28,2848,284800,67,1
28,2849,284990,150,1
28,2849,284920,244,2
28,2853,285300,272,4
29,2902,290290,126,2
29,2902,290219,99,2
29,2903,290339,186,2
29,2905,290511,117,1
29,2905,290559,82,3
29,2905,290549,120,1
29,2914,291440,83,2
29,2914,291411,87,1
29,2915,291570,331,0
29,2915,291521,84,0
29,2916,291614,197,1
29,2916,291619,64,0
29,2916,291611,77,1
29,2917,291739,147,1
29,2917,291720,87,2
29,2920,292090,205,2
29,2921,292129,123,1
29,2921,292151,78,1
29,2921,292149,82,1
29,2921,292159,125,1
29,2922,292229,84,1
29,2929,292910,202,1
29,2931,293190,458,2
29,2933,293379,155,2
29,2934,293499,354,3
29,2942,294200,370,4
30,3002,300290,121,2
30,3002,300210,141,2
30,3004,300490,550,1
30,3005,300510,353,1
30,3006,300650,77,3
31,3102,310210,121,2
32,3204,320414,275,3
32,3204,320419,436,4
32,3204,320490,176,2
32,3204,320416,150,0
32,3204,320420,170,1
32,3205,320500,76,1
32,3206,320649,902,7
32,3206,320650,225,1
32,3207,320740,195,2
32,3207,320710,229,1
32,3207,320730,426,7
32,3208,320810,229,3
32,3208,320890,1164,7
32,3208,320820,304,3
32,3209,320990,265,4
32,3209,320910,209,3
32,3210,321000,1255,5
32,3211,321100,244,5
32,3212,321290,840,5
32,3212,321210,275,4
32,3213,321390,282,0
32,3214,321490,344,2
32,3214,321410,1254,12
32,3215,321519,1513,14
32,3215,321511,662,6
32,3215,321590,669,8
33,3301,330130,169,0
33,3301,330190,480,0
33,3302,330290,413,1
33,3303,330300,716,1
33,3304,330410,1085,1
33,3304,330430,558,1
33,3304,330499,4093,11
33,3304,330420,1217,1
33,3304,330491,701,1
33,3305,330510,1679,0
33,3305,330590,1241,0
33,3306,330620,203,1
33,3306,330610,831,0
33,3307,330749,1545,3
33,3307,330730,1200,0
33,3307,330790,1841,2
34,3401,340111,1778,2
34,3401,340120,377,0
34,3401,340119,324,3
34,3401,340130,1548,1
34,3402,340211,321,3
34,3402,340219,611,0
34,3402,340290,2956,24
34,3402,340213,529,3
34,3402,340220,1588,11
34,3403,340319,3048,23
34,3403,340391,262,1
34,3403,340311,626,1
34,3403,340399,1880,17
34,3404,340490,1111,7
34,3405,340530,224,2
34,3405,340590,787,6
34,3405,340510,353,2
34,3405,340540,449,2
35,3504,350400,304,1
35,3506,350610,1495,18
35,3506,350699,3698,41
35,3506,350691,2255,27
37,3701,370199,70,1
37,3701,370110,57,1
37,3702,370242,31,1
37,3702,370256,18,1
37,3702,370244,46,1
37,3703,370390,67,2
37,3703,370320,47,0
37,3704,370400,43,1
37,3705,370510,25,2
37,3705,370590,379,15
37,3707,370710,122,2
37,3707,370790,639,8
38,3801,380190,243,6
38,3801,380130,24,1
38,3801,380110,206,3
38,3802,380210,487,0
38,3806,380610,87,1
38,3806,380690,158,0
38,3809,380991,717,2
38,3809,380992,117,0
38,3810,381010,470,10
38,3810,381090,490,9
38,3811,381121,100,2
38,3811,381190,347,4
38,3811,381129,416,2
38,3812,381230,703,4
38,3812,381220,277,3
38,3814,381400,964,11
38,3815,381519,97,1
38,3815,381512,114,1
38,3815,381590,751,8
38,3818,381800,1017,19
38,3819,381900,456,5
38,3820,382000,319,6
38,3821,382100,172,1
38,3822,382200,1168,10
38,3823,382370,66,1
38,3823,382319,122,0
38,3824,382450,42,1
38,3824,382490,7561,52
38,3824,382410,79,1
39,3901,390120,430,5
39,3901,390190,876,14
39,3901,390110,699,7
39,3901,390130,398,4
39,3902,390230,354,2
39,3902,390210,1169,8
39,3902,390290,381,2
39,3903,390311,343,12
39,3903,390320,140,1
39,3903,390390,465,4
39,3903,390319,478,6
39,3903,390330,731,18
39,3904,390421,101,2
39,3904,390422,257,8
39,3904,390440,118,2
39,3904,390490,71,1
39,3904,390410,361,3
39,3904,390469,199,6
39,3905,390599,182,0
39,3906,390610,371,5
39,3906,390690,1170,8
39,3907,390710,275,3
39,3907,390730,1123,6
39,3907,390760,211,1
39,3907,390720,770,4
39,3907,390791,373,5
39,3907,390799,878,8
39,3907,390740,854,10
39,3907,390770,79,0
39,3908,390890,648,5
39,3908,390810,621,6
39,3909,390930,301,0
39,3909,390950,946,8
39,3909,390920,145,1
39,3909,390940,336,0
39,3910,391000,2138,34
39,3911,391110,273,1
39,3911,391190,738,5
39,3912,391290,119,1
39,3912,391220,54,1
39,3912,391231,94,1
39,3913,391390,311,3
39,3914,391400,434,3
39,3915,391510,278,1
39,3915,391590,780,3
39,3916,391690,539,13
39,3917,391729,867,10
39,3917,391732,1526,13
39,3917,391723,197,2
39,3917,391739,3803,30
39,3917,391731,198,1
39,3917,391740,2772,24
39,3917,391733,656,4
39,3918,391810,466,2
39,3919,391990,6446,156
39,3919,391910,3158,74
39,3920,392010,1618,25
39,3920,392030,341,3
39,3920,392049,1046,7
39,3920,392020,1061,15
39,3920,392059,419,8
39,3920,392043,173,1
39,3920,392062,739,21
39,3920,392051,264,6
39,3920,392069,794,18
39,3920,392061,329,7
39,3920,392092,197,5
39,3920,392099,2059,32
39,3920,392063,109,3
39,3920,392091,76,1
39,3921,392112,361,7
39,3921,392114,98,4
39,3921,392111,187,4
39,3921,392190,6437,107
39,3921,392113,557,9
39,3921,392119,1084,16
39,3922,392220,347,0
39,3922,392290,1229,29
39,3922,392210,435,0
39,3923,392329,6340,129
39,3923,392330,3049,17
39,3923,392310,6739,152
39,3923,392350,3205,29
39,3923,392390,3508,100
39,3923,392340,548,9
39,3923,392321,1161,25
39,3924,392410,3828,19
39,3924,392490,3383,18
39,3925,392510,291,1
39,3925,392530,443,3
39,3925,392590,559,6
39,3925,392520,240,0
39,3926,392630,1432,25
39,3926,392640,2006,17
39,3926,392690,30697,446
39,3926,392610,1930,45
39,3926,392620,2023,9
40,4002,400280,31,0
40,4002,400219,600,3
40,4002,400299,988,19
40,4005,400510,120,2
40,4005,400591,227,2
40,4005,400520,23,1
40,4005,400599,88,1
40,4006,400690,537,6
40,4007,400700,114,1
40,4008,400829,175,4
40,4008,400811,281,7
40,4008,400821,968,9
40,4009,400911,845,4
40,4009,400921,279,2
40,4009,400931,281,3
40,4009,400912,363,3
40,4009,400941,374,3
40,4009,400922,334,3
40,4009,400932,184,2
40,4009,400942,744,6
40,4010,401019,1727,11
40,4010,401032,93,3
40,4010,401034,28,1
40,4010,401035,111,4
40,4010,401039,1569,15
40,4010,401033,76,2
40,4010,401031,313,3
40,4011,401110,426,2
40,4011,401150,479,1
40,4012,401219,45,0
40,4012,401290,388,1
40,4013,401320,348,0
40,4013,401390,258,1
40,4014,401490,246,1
40,4015,401590,227,0
40,4015,401519,949,7
40,4016,401691,504,7
40,4016,401692,260,1
40,4016,401693,6433,78
40,4016,401695,254,3
40,4016,401699,5899,96
40,4016,401694,77,1
40,4016,401610,459,19
40,4017,401700,4346,101
41,4104,410449,300,1
41,4115,411510,273,1
42,4202,420212,2633,43
42,4202,420221,1258,13
42,4202,420211,833,16
42,4202,420229,1189,32
42,4202,420231,1207,23
42,4202,420232,2279,34
42,4202,420239,1162,28
42,4202,420291,709,17
42,4202,420292,3196,47
42,4202,420299,1180,16
42,4202,420222,4085,54
42,4202,420219,1361,35
42,4203,420310,512,2
42,4203,420330,1171,11
42,4203,420340,302,5
42,4203,420329,591,4
42,4205,420500,1400,21
43,4302,430230,24,1
44,4410,441019,56,0
44,4410,441011,140,0
44,4413,441300,246,4
44,4414,441400,799,1
44,4415,441520,395,7
44,4415,441510,471,2
44,4417,441700,447,1
44,4418,441820,335,0
44,4420,442090,688,1
44,4420,442010,2072,3
44,4421,442190,4100,22
44,4421,442110,527,1
45,4503,450390,103,0
45,4504,450410,88,1
46,4601,460121,256,0
46,4602,460290,322,1
47,4701,470100,9,1
47,4706,470610,7,0
48,4801,480100,42,1
48,4802,480220,152,3
48,4802,480255,166,0
48,4802,480210,134,2
48,4802,480258,89,1
48,4802,480240,78,0
48,4802,480269,363,3
48,4802,480256,100,0
48,4802,480262,80,2
48,4803,480300,313,2
48,4804,480431,91,1
48,4804,480441,31,0
48,4804,480419,53,0
48,4804,480439,174,0
48,4805,480530,130,1
48,4805,480593,142,0
48,4805,480519,92,2
48,4805,480591,142,1
48,4808,480890,266,5
48,4808,480810,208,11
48,4809,480990,360,2
48,4810,481029,109,1
48,4810,481039,207,0
48,4810,481013,203,3
48,4810,481019,164,1
48,4810,481092,61,1
48,4811,481110,43,2
48,4811,481149,318,6
48,4811,481159,312,1
48,4811,481141,895,16
48,4811,481190,1116,17
48,4811,481151,110,1
48,4811,481160,130,0
48,4812,481200,169,3
48,4816,481690,313,3
48,4816,481620,30,0
48,4817,481720,310,5
48,4817,481730,768,25
48,4817,481710,532,10
48,4818,481820,845,5
48,4818,481850,236,1
48,4818,481810,273,2
48,4818,481830,307,2
48,4818,481890,749,5
48,4819,481910,7272,231
48,4819,481930,190,2
48,4819,481950,1269,49
48,4819,481920,7027,210
48,4819,481960,1047,45
48,4819,481940,2603,25
48,4820,482020,84,1
48,4820,482040,148,2
48,4820,482010,1951,44
48,4820,482090,462,23
48,4820,482030,364,6
48,4820,482050,336,6
48,4821,482190,2487,106
48,4821,482110,6975,220
48,4822,482210,89,0
48,4823,482320,767,14
48,4823,482361,230,2
48,4823,482370,509,11
48,4823,482390,6907,155
48,4823,482340,280,6
